Sample,Animal,Timepoint,Mpt64.IgG1,HspX.IgG1,GroES.IgG1,PPD.IgG1,LAM.IgG1,PstS1.IgG1,Ag85A.B.IgG1,Apa.IgG1,EBOV.GP.IgG1,Mpt64.IgG2,HspX.IgG2,GroES.IgG2,PPD.IgG2,LAM.IgG2,PstS1.IgG2,Ag85A.B.IgG2,Apa.IgG2,EBOV.GP.IgG2,Mpt64.IgG3,HspX.IgG3,GroES.IgG3,PPD.IgG3,LAM.IgG3,PstS1.IgG3,Ag85A.B.IgG3,Apa.IgG3,EBOV.GP.IgG3,Mpt64.IgG4,HspX.IgG4,GroES.IgG4,PPD.IgG4,LAM.IgG4,PstS1.IgG4,Ag85A.B.IgG4,Apa.IgG4,EBOV.GP.IgG4,Mpt64.IgA,HspX.IgA,GroES.IgA,PPD.IgA,LAM.IgA,PstS1.IgA,Ag85A.B.IgA,Apa.IgA,EBOV.GP.IgA,Mpt64.IgM,HspX.IgM,GroES.IgM,PPD.IgM,LAM.IgM,PstS1.IgM,Ag85A.B.IgM,Apa.IgM,EBOV.GP.IgM,Mpt64.R2A,HspX.R2A,GroES.R2A,PPD.R2A,LAM.R2A,PstS1.R2A,Ag85A.B.R2A,Apa.R2A,Mpt64.R3A,HspX.R3A,GroES.R3A,PPD.R3A,LAM.R3A,PstS1.R3A,Ag85A.B.R3A,Apa.R3A,Mpt64.C1Q,HspX.C1Q,GroES.C1Q,PPD.C1Q,LAM.C1Q,PstS1.C1Q,Ag85A.B.C1Q,Apa.C1Q,LAM.ADCP,LAM.ADNP,LAM.ADNKA.CD107a,LAM.ADNKA.IFNg,LAM.ADNKA.MIP1b,LAM.ADNKA.TNFa,PPD.ADCP,PPD.ADNP,PPD.ADNKA.CD107a,PPD.ADNKA.IFNg,PPD.ADNKA.MIP1b,PPD.ADNKA.TNFa
13N022_wk-2_post_plasma,13N022,2 Weeks Pre-Mtb,0.604883463,0.544976328,0.425664217,0.405594406,0.583892617,0.385034688,0.43540856,0.50334608,0.869905956,1.161684783,1.189285714,1.027355623,1.125310174,1.775618375,1.150313152,1.23625,1.19781719,1.011111111,1.015181195,0.916666667,1.015509601,1.295493053,1.506849315,1.102564103,0.860787825,0.995042493,0.994818653,1.263591433,1.489116517,1.393333333,1.269058296,1.736526946,1.077586207,1.384479718,1.397328881,0.970873786,1.167711599,1.182640145,1.139275766,1.143763214,3.180758017,1.35,1.222506394,1.102631579,1.074733096,1.104627767,1.098145286,0.966666667,0.945241199,1.137060628,0.912110727,1.038242009,0.885955649,1.007518797,1.316455696,2.27408711,1.586681223,1.48474059,5.710994075,2.152386268,1.029077948,1.354182087,0.484750668,0.548892916,0.410816799,0.529638994,3.057187017,0.67558299,0.510319855,0.582915121,2.708603145,1.232075472,1.193548387,1.65,0.877862595,1.134387352,1.094117647,1.016806723,0.981259994,0.605273983,1.383116883,2.746140652,0.850537634,1.829007634,1.033934782,0.386153566,1.043383948,0.7546875,0.890501319,0.845289542
13N023_wk-2_post_plasma,13N023,2 Weeks Pre-Mtb,1.302250804,1.367909238,1.144300144,0.967841682,1.207958922,1.331360947,1.698852127,0.577797593,0.949286846,1.370477569,1.287646528,1.409756098,1.3550447,1.901253918,1.193050193,1.433719434,1.336158192,1.040139616,1.048185604,1.278519417,1.255909558,0.885792087,1.823088456,1.066189624,1.299195318,1.144567219,1.158316633,1.070840198,0.967517401,1.018181818,1.025073746,1.925149701,0.972815534,1.004405286,0.967845659,0.973282443,1.309933775,1.35984556,1.071748879,1.167648391,1.709700948,1.191111111,1.268740439,1.126013265,0.990430622,0.517214499,0.541090726,0.679308051,0.559865093,1.124505929,1.462575627,0.596750903,0.47373913,0.647222222,4.708242159,2.791940789,3.662078785,3.346815835,29.32383666,4.551093035,3.979739946,2.549180328,0.439129653,0.561081947,0.614149523,0.44542957,7.506834686,0.819987105,0.583257782,0.538727657,4.255184851,1.763888889,1.14739229,2.471561531,0.987220447,3.90809628,1.20123839,3.401174168,1.168810866,0.618845375,1.316436252,11.41078838,0.765113974,8.311688312,1.188602677,0.764841201,0.823308271,0.652866242,0.945169713,0.708924103
13N025_wk-2_post_plasma,13N025,2 Weeks Pre-Mtb,2.955307263,3.163186813,2.182533113,0.827745114,2.320776256,2.322033898,1.761054173,0.902622951,1.009433962,1.439635535,1.286809816,1.403337969,1.244755245,1.037936267,1.086021505,1.303441084,1.251269036,0.953153153,1.309265945,1.255058824,1.742277992,1.405007364,0.830546265,0.911202186,1.563448276,1.258064516,0.998158379,1.24556213,1.309677419,1.494407159,1.126187246,0.980519481,1.05973025,1.313213703,1.121765601,1.020366599,1.335774648,1.11514393,0.956269523,1.018221258,0.959276018,0.966511628,0.984451718,1.10971223,1.085284281,0.604810997,0.699812383,0.661165049,0.776517678,1.325892857,0.787610619,0.835180055,0.675675676,0.658723404,0.160086533,0.134814078,0.130896746,0.111480464,0.081701829,0.117060462,0.16306099,0.146427079,0.621217312,0.574719866,0.434519023,0.425186433,0.526889535,0.422529052,0.466970387,0.45460685,1.664087392,1.522875817,0.985472155,0.967619048,1.00625,1.055319149,1.023648649,0.912052117,1.013251185,0.674086739,0.998439938,1.524517088,1.121452894,0.849689441,1.058703543,0.611284313,0.977426637,1.35839599,0.9218107,1.374659401
13N026_wk-2_post_plasma,13N026,2 Weeks Pre-Mtb,0.891566265,0.8,0.85,0.898819562,4.207885305,3.199672668,0.890140845,1.100409836,0.998305085,1.2,1.242312423,1.210526316,1.395384615,3.758445946,1.729166667,1.213213213,1.420560748,1.024866785,0.994231778,1.323038397,1.455474453,0.98449848,4.811377246,1.666101695,1.139455782,1.371031746,1.037174721,1.095846645,1.169139466,1.136842105,1.183774834,4.28125,1.473903967,1.210332103,1.390034364,0.996402878,1.006116208,0.885597549,0.866766467,0.988004362,7.863436123,3.149377593,0.871447903,0.927950311,1.02020202,1.777113971,1.266166488,1.207207207,1.156207367,1.745481928,1.905547226,1.479661017,1.556584362,1.241701245,1.461368653,1.438789546,0.944889308,1.378109453,92.64808917,13.82147477,1.221117062,1.450772986,0.839702464,0.558448145,0.527352756,0.536355608,14.40828315,4.065971483,0.563467016,0.593931129,1.951510892,1.127622378,1.1769437,1.282201405,1.934294872,19.40040241,1.034536892,2.917341977,1.029854962,0.474000103,3.555555556,3.791390728,0.968085106,3.363782051,0.930696204,0.499459915,1.106818182,0.437900128,1.001355014,0.566985646
A12V044_wk-2_post_plasma,A12V044,2 Weeks Pre-Mtb,0.466666667,0.309925726,0.371325931,0.264366434,0.593188269,0.491130258,0.299138285,0.22231809,0.895721925,1.272373541,1.156916724,1.184971098,1.16,1.450236967,1.501968504,1.291617473,1.002290951,0.903339192,1.234170854,1.272324723,1.313901345,1.160720353,1.066939891,1.412969283,1.158488714,1.007330483,0.97716895,0.951612903,0.980324074,1.068649886,1.081210191,0.958064516,0.977777778,1.062080537,0.955315871,0.992509363,1.078352181,1.168874172,1.084452975,1.147335423,1.485213582,1.213582677,1.129198966,1.167747164,1.003484321,0.663319551,1.093881857,0.684552846,0.752233472,1.574960128,1.070101076,0.77578177,0.564017951,0.754578755,0.997026338,1.06697783,0.884261289,1.120892746,0.96,0.756639566,1.147949353,0.852459016,0.399382625,0.194626893,0.302802711,0.254303534,0.344687593,0.397061954,0.242502697,0.199520329,2.248154982,1.506283662,1.073417722,1.618309859,1.114886731,1.135416667,0.994827586,1.090425532,0.937090346,0.569851132,0.833879781,3.352941176,0.928427419,2.261390887,1.047875607,0.519350067,0.834285714,0.668848168,0.93557047,0.751666667
A12V053_wk-2_post_plasma,A12V053,2 Weeks Pre-Mtb,0.585930543,0.477745872,0.472641103,0.623311463,67.23492723,2.296593186,0.395592287,0.926889279,0.917050691,0.608733624,0.50028885,0.524725275,0.640449438,10.36947791,1.362477231,0.548361934,0.692669173,0.926573427,0.608337905,0.465139949,0.549865229,0.821127236,11.83289125,1.217041801,0.532951289,0.723793677,1.016885553,0.799461642,0.871396896,0.791666667,0.986646884,14.98867314,1.355640535,0.863760218,1.099099099,1.056390977,0.62868048,0.58734841,0.582405345,0.630414313,6.790395847,0.929014085,0.63565081,0.764335664,0.96130031,1.862043902,1.403244348,0.942359768,1.288550629,3.025993884,3.017472924,1.026938393,1.316549296,1.249827942,0.255609756,0.32035042,0.329326163,0.325106022,77.75208608,2.130767482,0.361956028,1.058983051,0.25825221,0.287811315,0.307306303,0.337217933,15.7443199,1.619748291,0.339821645,0.488414673,0.482324009,0.790674603,1.055187638,0.95329087,362.6323529,3.026717557,1.024263432,1.751332149,1.362733236,1.597241517,15.82381729,4.132688321,1.400641026,6.484607746,1.08915328,1.634425006,1.774703557,4.324599709,1.051388889,0.954626335
A12V057_wk-2_post_plasma,A12V057,2 Weeks Pre-Mtb,0.709851552,0.601226994,0.561470911,0.680190476,0.770663562,0.585365854,0.511339476,0.576477757,0.949756888,0.8,0.559041643,0.618395303,0.711892797,0.725247525,0.741538462,0.55464684,0.605435801,1.10546875,0.857374392,0.613464887,0.623716153,0.780293322,0.942105263,0.907643312,0.647177419,0.832412523,0.921428571,0.870813397,0.671834625,0.677897574,0.776643991,0.908536585,1.04008016,0.638603696,0.817026684,1.009765625,0.726436782,0.562079511,0.537070524,0.643178411,0.65026738,0.554592721,0.555272109,0.694230769,1.014059754,1.517726161,1.413533835,0.969984202,0.963178295,2.064427313,1.926307448,1.086585366,1.039162113,1.021791768,1.060410557,0.739531704,0.59889001,0.883388504,0.737203972,0.647558164,0.91668163,0.600883935,1.922030825,1.25,1.051589129,0.808406538,1.066416254,1.04446038,1.225399279,0.823716042,1.389365352,0.958823529,0.98241206,1.130753138,0.92019544,0.890942699,0.878693624,0.970684039,0.930464371,0.985002137,1.542568543,1.125,0.994252874,1.146505376,0.979549833,1.176345162,0.384850336,0.756756757,1.125739645,0.853949329
A12V058_wk-2_post_plasma,A12V058,2 Weeks Pre-Mtb,0.665107577,0.748148148,1.135472371,0.969122807,0.99377916,0.846463485,0.998370451,0.886295631,0.908616188,1.317185698,1.343894389,1.463315217,1.402323126,1.337748344,1.043396226,1.34939759,1.515027322,1.187250996,1.142857143,1.207677165,1.406635071,1.151278518,1.565349544,1.114490161,1.165844636,1.30629771,1.117001828,1.144254279,1.173333333,1.315966387,1.051612903,1.43030303,0.980434783,1.14953271,1.221140473,0.963099631,0.951879699,0.928456592,1.038681948,0.955188679,2.618307427,1.28021148,1.0760165,0.960717336,0.951863354,0.669510953,0.639034348,0.687560896,0.585087406,1.311435523,0.823622047,0.608189331,0.835102619,0.570642978,1.1085353,1.056397567,1.009669741,1.321170893,6.7133403,1.914083027,1.171108222,1.072408293,0.412369757,0.640892421,0.859876851,0.602877875,3.032805115,0.920300476,0.827703201,0.823918269,0.863050314,0.5762104,1.07112069,1.163654618,1.024024024,2.085483871,0.909596662,1.087662338,1.144781676,0.740778294,0.556521739,0.933333333,0.886948529,0.713782991,1.023183678,0.573996499,0.401331719,0.299595142,0.776581427,0.35483871
A12V062_wk-2_post_plasma,A12V062,2 Weeks Pre-Mtb,0.835654596,0.828757225,0.71867794,0.641637368,1.724102564,0.730929265,0.605275779,0.619508563,0.943708609,0.909280501,0.687393041,0.780512821,0.759576202,2.058739255,1.063079777,0.703675919,0.784860558,1.092,0.931958763,0.694045175,0.683932347,0.983389324,1.524390244,0.73553719,0.700137552,0.911357341,0.988527725,1.006622517,0.947941889,0.938069217,1.083713851,2.519134775,1.087606838,1.009646302,1.121212121,1.029644269,1.078778135,1.011437908,1.027568922,0.986791414,1.641643059,0.965737515,1.00724234,0.921249151,0.952536825,1.620494053,1.668489693,1.067889908,1.297124601,3.019795658,2.479597244,1.227961819,1.476403061,1.470483005,0.303077862,0.31117115,0.315014188,0.248430212,5.382446719,0.455170074,0.325094112,0.317288949,0.682517483,0.630652277,0.611226358,0.645633843,6.776477058,0.999400192,0.548498433,0.566115702,2.750611247,1.464285714,0.777777778,1.239179954,5.976525822,1.393406593,1.099457505,0.951367781,1.004050458,0.817359246,2.586956522,1.818604651,0.986970684,1.694550063,1.345483763,1.210648554,1.045936396,1.22244898,0.993734336,1.063829787
A12V066_wk-2_post_plasma,A12V066,2 Weeks Pre-Mtb,1.211093991,1.315835521,0.99564839,0.948578107,9.156532988,1.554575524,1.083459788,1.208476518,1.00621118,0.899249732,0.822286963,0.710526316,0.778633301,4.480304956,1.145631068,0.723977695,0.953041622,0.986013986,0.99713056,0.770859278,0.884782609,1.035701471,4.00814901,1.184410646,0.825112108,1.110502283,0.883527454,0.949253731,1.041420118,1.012658228,1.107936508,4.250325945,1.173728814,1.113636364,1.336585366,0.922807018,0.623255814,0.610438729,0.594778661,0.746812386,2.91424196,0.783482143,0.665570175,0.819889503,1.076923077,1.148433615,1.272680055,1.346132748,1.308115543,1.537414966,3.204742819,1.568944602,1.111229189,1.152749491,0.47582205,0.681946436,0.717011256,0.831328522,12.21609505,1.065736155,0.625384879,0.912828947,0.918205377,1.182224269,1.242331069,1.423556872,5.130691475,1.949644841,1.032055276,1.362906772,0.601607348,0.290726817,0.976247031,1.17771639,61.50084317,2.190839695,1.092905405,1.917366947,1.565422912,1.86378382,6.845151954,4.72698908,1.260188088,4.491758242,1.042694361,1.820862869,1.279236277,3.076642336,1.076815642,2.489583333
