,Var1,Var2,spearman,pvalue,fdr,neg_log_pvalue,feature,significance,color,abs_spearman
177,BAL.Pre.PstS1.IgM,BAL.Pre.LAM.IgM,0.96,1.19E-17,1.74E-15,16.92416516,BAL.Pre.LAM.IgM,fdr_significant,#A00000,0.96
1,BAL.Pre.PPD.IgM,BAL.Pre.Ag85A.B.IgM,0.951,2.68E-16,3.67E-14,15.57179594,BAL.Pre.Ag85A.B.IgM,fdr_significant,#A00000,0.951
353,BAL.Pre.Ag85A.B.IgM,BAL.Pre.PPD.IgM,0.951,2.68E-16,3.67E-14,15.57179594,BAL.Pre.PPD.IgM,fdr_significant,#A00000,0.951
178,BAL.Pre.PstS1.IgM,BAL.Pre.HspX.IgM,0.934,1.75E-14,2.01E-12,13.75643615,BAL.Pre.HspX.IgM,fdr_significant,#A00000,0.934
2,BAL.Pre.PPD.IgM,BAL.Pre.PstS1.IgM,0.92,2.46E-13,2.48E-11,12.60887644,BAL.Pre.PstS1.IgM,fdr_significant,#A00000,0.92
179,BAL.Pre.PstS1.IgM,BAL.Pre.PPD.IgM,0.92,2.46E-13,2.48E-11,12.60887644,BAL.Pre.PPD.IgM,fdr_significant,#A00000,0.92
354,BAL.Pre.Ag85A.B.IgM,BAL.Pre.HspX.IgM,0.917,4.00E-13,3.81E-11,12.39811936,BAL.Pre.HspX.IgM,fdr_significant,#A00000,0.917
3,BAL.Pre.PPD.IgM,BAL.Pre.HspX.IgM,0.915,5.60E-13,5.11E-11,12.25211165,BAL.Pre.HspX.IgM,fdr_significant,#A00000,0.915
355,BAL.Pre.Ag85A.B.IgM,BAL.Pre.GroES.IgM,0.91,1.21E-12,1.05E-10,11.91597348,BAL.Pre.GroES.IgM,fdr_significant,#A00000,0.91
180,BAL.Pre.PstS1.IgM,BAL.Pre.Ag85A.B.IgM,0.909,1.56E-12,1.32E-10,11.80812609,BAL.Pre.Ag85A.B.IgM,fdr_significant,#A00000,0.909
356,BAL.Pre.Ag85A.B.IgM,BAL.Pre.PstS1.IgM,0.909,1.56E-12,1.32E-10,11.80812609,BAL.Pre.PstS1.IgM,fdr_significant,#A00000,0.909
357,BAL.Pre.Ag85A.B.IgM,BAL.Pre.EBOV.GP.IgM,0.905,2.84E-12,2.25E-10,11.54700646,BAL.Pre.EBOV.GP.IgM,fdr_significant,#A00000,0.905
4,BAL.Pre.PPD.IgM,BAL.Pre.GroES.IgM,0.904,3.38E-12,2.65E-10,11.4709247,BAL.Pre.GroES.IgM,fdr_significant,#A00000,0.904
358,BAL.Pre.Ag85A.B.IgM,BAL.Pre.Mpt64.IgM,0.903,3.58E-12,2.80E-10,11.44578628,BAL.Pre.Mpt64.IgM,fdr_significant,#A00000,0.903
